City_ID,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,1,US,1619619301,62,34.1478,-119.1951,59.0,4.61
1,100,ID,1619619301,96,-2.635,115.2274,74.25,1.52
2,0,NaN,0000000000,0,0.0,0.0,0.0,0.0
3,49,RU,1619619302,97,69.3,139.9,3.31,6.11
4,75,US,1619619303,94,22.0752,-159.319,66.99,8.05
5,29,VU,1619619303,63,-19.55,169.2667,73.29,12.95
6,0,UZ,1619619304,8,40.1333,63.45,94.12,2.51
7,58,MV,1619619304,64,-0.6,73.0833,83.73,2.24
8,40,AR,1619619011,81,-54.8,-68.3,41.0,2.3
9,9,PH,1619619305,82,10.9995,122.6711,75.85,5.53
10,98,AU,1619619306,84,-42.7826,147.0587,54.0,1.99
11,99,PF,1619619306,71,-9.8,-139.0333,79.2,12.01
12,40,BR,1619619307,73,-22.9661,-42.0278,78.8,5.75
13,100,RU,1619619307,65,67.6803,53.1512,27.95,5.53
14,98,GL,1619619291,76,77.484,-69.3632,30.0,10.8
15,20,IS,1619619308,49,64.2539,-15.2082,42.8,23.02
16,0,NaN,0000000000,0,0.0,0.0,0.0,0.0
17,40,US,1619619309,52,42.097,-79.2353,69.8,11.5
18,0,NaN,0000000000,0,0.0,0.0,0.0,0.0
19,0,AR,1619619019,77,-38.0023,-57.5575,69.01,9.22
20,57,TZ,1619619311,91,-6.3667,37.3667,76.77,5.06
21,90,CA,1619619311,93,50.6996,-127.4199,48.2,11.5
22,50,CN,1619619312,31,34.7747,111.1814,60.04,6.22
23,90,GA,1619619312,89,-0.7193,8.7815,82.4,11.5
24,75,IT,1619619313,40,46.6166,10.7002,71.6,9.22
25,75,US,1619619314,88,28.017,-97.5169,78.01,12.66
26,75,CA,1619619100,92,62.456,-114.3525,14.0,9.22
27,1,US,1619619314,45,41.3712,-73.414,64.4,3.13
28,100,RU,1619619315,94,73.5069,80.5464,32.09,10.49
29,0,BR,1619619315,60,-20.4725,-45.1256,77.67,2.86
30,40,US,1619619316,52,41.1667,-81.1998,73.4,11.5
31,9,PF,1619618579,75,-23.1203,-134.9692,75.52,6.76
32,75,RO,1619619317,67,46.3333,21.75,62.01,2.3
33,100,ZA,1619618736,73,-34.4187,19.2345,64.0,1.99
34,73,RU,1619619318,97,70.6333,147.9167,4.24,6.06
35,100,NZ,1619619319,81,-46.2817,169.8464,53.01,1.01
36,0,EG,1619619319,36,31.3525,27.2453,78.15,11.79
37,100,JP,1619619320,93,31.6,131.3667,62.01,5.55
38,75,RE,1619619297,78,-21.3585,55.7679,78.8,20.71
39,76,US,1619619321,52,42.6001,-73.9662,63.0,3.0
40,75,TO,1619619321,100,-21.2,-175.2,73.4,15.61
41,6,ZA,1619619322,59,-34.0033,24.7314,70.25,10.85
42,100,AU,1619619323,92,-33.65,115.3333,64.0,5.68
43,75,CA,1619619323,79,69.4541,-133.0374,15.8,10.36
44,99,RU,1619619324,88,71.9667,102.5,23.76,7.94
45,100,ID,1619619324,85,4.1363,96.1285,79.9,1.7
46,75,CL,1619619236,75,-53.15,-70.9167,42.8,27.63
47,40,GB,1619619325,40,55.3976,-4.5917,55.0,8.05
48,100,RU,1619619326,85,66.8333,70.8333,26.47,10.94
